text_raport|text_clean_debug|eticheta_problema|eticheta_departament|eticheta_urgenta|data_raport
tastatura blocata zona cuptor tratament|tastatura blocata zona cuptor tratament|hardware_it|Software|critica|2026-01-23
pericol! datele nu se actualizeaza la cnc maza|PERICOL! datele nu se actualizeaza la cnc mazak|bug_aplicatie|Software|critica|2026-01-17
defectiune liinia 1: fluctuatii de tensiun.|Defectiune linia 1: fluctuatii de tensiune.|alimentare_curent|Electric|medie|2026-01-15
motorul declanseaza protectia yermica la robot sudura. icnetineste productia|motorul declanseaza protectia termica la robot sudura. incetineste productia|componente_automatizare|Electric|medie|2026-01-18
defectiune camera compersoare: bug in sovt la salvare.|Defectiune camera compresoare: bug in soft la salvare.|bug_aplicatie|Software|mica|2026-01-04
usz de protecte inteppenita zona magaazie piese|usa de protectie intepenita zona magazie piese|blocaj_mecanic|Mecanic|mica|2025-12-24
verificatk magaziw piese, banda transportoaer sfiasiata|Verificati magazie piese, banda transportoare sfiasiata|uzura_fizica|Mecanic|critica|2026-01-03
la camrra compreoare: senzorul nu citeste nimic.|La camera compresoare: senzorul nu citeste nimic.|senzori_instrumentatie|Electric|mica|2025-12-27
berificati statia vopsire, mouse-ul nu merge|Verificati statia vopsire, mouse-ul nu merge|hardware_it|Software|critica|2026-01-06
verificati zona ambalare,pierdere pachete date|Verificati zona ambalare, pierdere pachete date|conectivitate_retea|Software|critica|2026-02-09
verificati cand puteti! senzoruul nu ciiteste nimc la liniaa 1|verificati cand puteti! senzorul nu citeste nimic la linia 1|senzori_instrumentatie|Electric|medie|2025-12-29
verigicati linia 1, usz de protectie ntepenita|Verificati linia 1, usa de protectie intepenita|blocaj_mecanic|Mecanic|mica|2025-12-30
nu mrrge internetul la lina 2. verificati cand puteti|nu merge internetul la linia 2. verificati cand puteti|conectivitate_retea|Software|medie|2025-12-29
releu ars in tablou la presa hidraulia. linie oprita|releu ars in tablou la presa hidraulica. LINIE OPRITA|componente_automatizare|Electric|critica|2025-12-18
adresa ip conflict zona zona aambalare|adresa IP conflict zona zona ambalare|conectivitate_retea|Software|medie|2025-12-15
incetineste productiaa! nu merge intednetul la chc mazak|incetineste productia! nu merge internetul la cnc mazak|conectivitate_retea|Software|medie|2025-12-23
pata mare de uei pe jos zona cuptor tratament|pata mare de ulei pe jos zona cuptor tratament|scurgere_lichide|Mecanic|medie|2026-01-30
fotocelula murdara zonna statia vopsire|fotocelula murdara zona statia vopsire|senzori_instrumentatie|Electric|medie|2026-02-02
nu e graba! nu avem twnsiune la pznou la robot kua|nu e graba! nu avem tensiune la panou la robot kuka|alimentare_curent|Electric|mica|2025-12-30
fotocelula murddara znoa zona expeditie|fotocelula murdara zona zona expeditie|senzori_instrumentatie|Electric|mica|2025-12-11
defectiune robot kuka: eroare citire debitmetru.|Defectiune robot kuka: eroare citire debitmetru.|senzori_instrumentatie|Electric|critica|2026-02-06
unitata pc caraie la lina 2. cand se poate|unitatea PC caraie la linia 2. cand se poate|hardware_it|Software|mica|2025-12-22
cuurea rupta la robot kula. merge grreu|curea rupta la robot kuka. merge greu|uzura_fizica|Mecanic|medie|2025-12-23
